"Reporting date","Name of health care institution","Region","District","address","EDRPOU code of health care institution","Latitude","Longitude","Hospitalization","Number of artificial respirating units in health care institution","Number of recovery cases among people with confirmed COVID-19 diagnosis during reporting interval","Number of beds adaptated for hospitalization of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases wait for laboratory confirmation","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases registered during reported period","Number of peolple with confirmed COVID-19 diagnosis, affected by SARS-CoV-2 (2019-nCoV) coronavirus infection, under medical treatment","Number of people whoes COVID-19 diagnosis confirmed during reporting period","Number of fatal cases among people with confirmed COVID-19 diagnosis during reporting interval","State"
2020-01-27,"КНП ""Бершадська окружна лікарня інтенсивного лікування""","VInnitska","Bershadskiy","m. Bershad, vul. Budkevicha, 2","01982494","48.363830569","29.511209145",0,13,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Ямпільська ЦРЛ»","VInnitska","YampIlskiy","m. YampIl, vul. Pirogova,1","01982726","48.247685881","28.278572814",0,11,0,6,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Вінницька міська клінічна лікарня №1»","VInnitska",NA,"m. VInnitsya, vul. Hmelnitske shose, 96","05484126","49.236347324","28.414002928",0,11,0,12,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Хмільницька центральна районна лікарня""","VInnitska",NA,"m. HmIlnik, vul. Monastirska, 71","01982695","49.553637292","27.948236991",0,9,0,4,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Токмацька БЛІЛ"" ТМР","ZaporIzka",NA,"m. Tokmak, vul. Tsentralna, 55M","41477873","47.255713330","35.708740805",0,4,0,15,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Вінницька центральна районна клінічна лікарня""","VInnitska",NA,"m. VInnitsya, Hmelnitske shose, 92","01982502","49.235508","28.414243",0,6,0,16,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Вінницька обласна дитяча інфекційна клінічна лікарня»","VInnitska",NA,"m. VInnitsya, vul. KiYivska, 68","34004453","49.250053205","28.476839183",0,3,0,55,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Жмеринська центральна районна лікарня""","VInnitska",NA,"m. Zhmerinka, vul. KiYivska, 288","37261811","49.061009","28.119112",0,3,0,2,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Приморська ЦРЛ"" ПРР ЗО","ZaporIzka","Primorskiy","m. Primorsk, vul. Morska, 74","01992989","46.724143180","36.358452487",0,5,0,12,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Могилів-Подільська обласна лікарня інтенсивного лікування""","VInnitska","MogilIv-PodIlskiy","m. MogilIv-PodIlskiy, vul. Poltavska, 89/2","01982591","48.458001084","27.771482977",0,4,0,6,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне підприємства ""Полтавська обласна клінічна інфекційна лікарня Полтавської обласної ради""","Poltavska",NA,"m. Poltava, prosp. Pershotravneviy, 22","01999661","49.576349995","34.564835021",0,9,0,152,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Крижопільська ОЛІЛ»","VInnitska","KrizhopIlskiy","smt. KrizhopIl, vul. Danila Nechaya, 10","01982560","48.383047974","28.873021153",0,3,0,4,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне підприємство ""Лубенська лікарня інтенсивного лікування Лубенської міської ради""","Poltavska",NA,"m. Lubni, vul.P'yatikopa, 26","01999388","50.002157494","32.991827393",0,10,0,18,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне підприємство ""1 міська клінічна лікарня Полтаської міської ради","Poltavska",NA,"m. Poltava, vul. O.Gonchara, 27a","01999655","49.586655905","34.525052180",0,10,0,40,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Шаргородська центральна районна лікарня""","VInnitska","Shargorodskiy","m. Shargorod, vul. Parhomenko, 9","33868196","48.74983","28.08317",0,3,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Волинська обласна клінічна лікарня""","Volinska",NA,"m. Lutsk, prosp. Prezidenta Grushevskogo, 21","01983163","50.74507","25.32008",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Ковельське міськрайонне територіальне медичне об'єднання""","Volinska",NA,"m. Kovel, vul. Oleni PchIlki, 4","01982940","51.213658141","24.712902655",0,12,0,8,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне підприємство ""Пирятинська центральна районна лікарня Пирятинської районної ради""","Poltavska","Piryatinskiy","m. Piryatin, vul. Avruschenka, 2","01999460","50.251286617","32.506312506",0,4,0,2,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Нововолинська центральна міська лікарня""","Volinska",NA,"m. Novovolinsk, prosp. Peremogi, 7","01983016","50.724657282","24.172172515",0,11,0,6,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Воолинський обласний перинатальний центр"" Волинської обласної ради","Volinska",NA,"m. Lutsk, vul. Zagorodnya, 20","42078561","50.74507","25.32008",0,9,0,2,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Немирівська центральна районна лікарня""","VInnitska","NemirIvskiy","m. NemirIv, vul. Evdokimenka, 21","01982614","48.974671","28.844196",0,3,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Волинська обласна інфекційна лікарня"" Волинської обласної ради","Volinska",NA,"m. Lutsk, vul. Shevchenka, 30","03398983","50.74507","25.32008",0,5,0,16,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Дитяча лікарня імені В.Й. Башека""","Zhitomirska",NA,"m. Zhitomir, vul. Svyatoslava RIhtera, 23","42779217","50.255794","28.659639",0,NA,0,4,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Піщанська ЦРЛ»","VInnitska","PIschanskiy","smt. PIschanka, vul. Tsentralna,42","01982620","48.210431793","28.884156165",0,1,0,2,0,0,0,0,0,"Not found"
2020-01-27,"Коломийська районна інфекційна лікарня","Ivano-FrankIvska",NA,"m. Kolomiya, vul. Simona Petlyuri, 66","31575286","48.536837196","25.045357525",0,0,0,60,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Яремчанська ЦМЛ» Яремчанської міської ради","Ivano-FrankIvska",NA,"m. Yaremche, vul. Dovbusha, 5","01993552","48.429582000","24.576655019",0,3,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КНП „Міська клінічна лікарня № 21 імені проф. Є.Г. Попкової ” Дніпровської міської ради","DnIpropetrovska",NA,"m. DnIpro, vul. Kanatna, 17","01984659","48.462218030","35.003954116",0,6,0,180,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Іваничівська центральна районна лікарня""","Volinska","IvanichIvskiy","smt. IvanichI, vul. Grushevskogo, 45","01982904","50.63777","24.35917",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП „Криворізька інфекційна лікарня № 1”  Криворізької міської ради","DnIpropetrovska",NA,"m. Kriviy RIg, vul. YurIya KamInskogo, 5","01986115","47.903169071","33.388954027",0,3,0,180,0,0,0,0,0,"Not found"
2020-01-27,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МАРІУПОЛЬСЬКОЇ МІСЬКОЇ РАДИ ""МАРІУПОЛЬСЬКА МІСЬКА ЛІКАРНЯ № 4 ІМ. І.К. МАЦУКА""","Donetska",NA,"m. MarIupol, vul. Pashkovskogo, 4","01990654","47.110023873","37.632926587",0,7,0,130,0,0,0,0,0,"Not found"
2020-01-27,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МАРІУПОЛЬСЬКОЇ МІСЬКОЇ РАДИ ""МАРІУПОЛЬСЬКА МІСЬКА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ""","Donetska",NA,"m. MarIupol, vul. Bahmutska, 20-A","01990660","47.115768286","37.547935870",0,6,0,40,0,0,0,0,0,"Not found"
2020-01-27,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ІНФЕКЦІЙНА ЛІКАРНЯ М.КОСТЯНТИНІВКА""","Donetska",NA,"m. KostyantinIvka, vul. Evropeyska, 17","03096940","48.499353083","37.686972210",0,2,0,90,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Луцька центральна районна лікарня""","Volinska","Lutskiy","s. Lipini, vul. TeremnIvska, 100","01983134","50.764280","25.393923",0,9,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ІНФЕКЦІЙНА ЛІКАРНЯ М. МИРНОГРАД""","Donetska",NA,"m. Mirnograd, prov. TolbuhIna, 44","31338129","48.268806571","37.276419820",0,1,0,75,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Веселівська БЛІЛ"" ВРР","ZaporIzka","VeselIvskiy","smt. Vesele, vul. Gorkogo, 2A","41955911","47.018487189","34.908776219",0,5,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Чорноморська лікарня» Чорноморської міської ради Одеської області","Odeska",NA,"m. Chornomorsk, vul. VItalIya Shuma, 4","01982212","46.295223575","30.648085507",0,3,0,24,0,0,0,0,0,"Not found"
