"","Region","District","Name of health care institution","Health care institution address","Latitude","Longitude","Date and time of data actuality (end of reporting interval)","Reporting date","EDRPOU code of health care institution","Number of artificial respirating units in health care institution","Кількість випадків одужання серед осіб із підтвердженим діагнозом COVID-19 протягом звітного періоду","Number of recovery cases among people with confirmed COVID-19 diagnosis during reporting interval","Number of beds adaptated for hospitalization of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases wait for laboratory confirmation","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases registered during reported period","Number of peolple with confirmed COVID-19 diagnosis, affected by SARS-CoV-2 (2019-nCoV) coronavirus infection, who refused hospitalization","Number of peolple with confirmed COVID-19 diagnosis, affected by SARS-CoV-2 (2019-nCoV) coronavirus infection, under medical treatment","Number of peolple with confirmed COVID-19 diagnosis, who refused hospitalization during reporting inteval","Number of people whoes COVID-19 diagnosis confirmed during reporting period","Number of fatal cases among people with confirmed COVID-19 diagnosis during reporting interval","Note","State"
"1","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-02-27 09:00:00,2020-02-26,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"2","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-02-28 09:00:00,2020-02-27,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"3","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-02 09:00:00,2020-03-01,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"4","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-03 09:00:00,2020-03-02,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"5","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-04 09:00:00,2020-03-03,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"6","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-05 09:00:00,2020-03-04,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"7","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-06 09:00:00,2020-03-05,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"8","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-10 09:00:00,2020-03-09,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"9","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-11 09:00:00,2020-03-10,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"10","Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-12 09:00:00,2020-03-11,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
